9802	<![CDATA[Hi! I am looking for ready-made classified ads (online market) web app based on PHP Laravel or Spring Boot or Asp.net framework. the ready-made classified web app can be real estate, job portal, automobiles or a combination of these or all second-hand stuff. The web app I am looking for must have been build very professionally. There are maybe some developers who build one for a client before and now wanna customize the design and sell it. PS I have seen all those classified ads scripts available on Codecanyon or ThemeForest and other similar platforms. I am not interested in Wordpress either so please only message me if you have such a system. <br /><br />for the right system, I can pay up to 1500usd<br /><br /><b>Budget</b>: $1,500<br /><b>Posted On</b>: September 02, 2019 09:22 UTC<br /><b>Category</b>: Web, Mobile &amp; Software Dev &gt; Web Development<br /><b>Skills</b>:        .NET Framework,                     AJAX,                     AngularJS,                     API,                     ASP.NET,                     Bootstrap,                     CRM,                     Custom PHP,                     Database Architecture,                     Java,                     Larval,                     MySQL Administration,                     PHP            <br /><b>Country</b>: Sweden<br /><a href="https://www.upwork.com/jobs/Looking-for-read-made-classified-ads-web-app-online-marketplace_%7E01ec08cd6c6bba71c3?source=rss">click to apply</a>]]>	Sat, 31 Aug 2019 19:27:32 +0000	\N	0	<![CDATA[Looking for read-made classified ads web app  (online marketplace) - Upwork]]>	9752	https://www.upwork.com/jobs/Looking-for-read-made-classified-ads-web-app-online-marketplace_%7E01ec08cd6c6bba71c3?source=rss	Sat, 31 Aug 2019 19:27:32 +0000 
9803	<![CDATA[Looking for a talented individual or team to help build a functional prototype web application. The web software will be for use in the freelance/SME invoicing space.<br /><br />Here is one of our competitors: https://www.letsdeel.com/<br /><br />You will be required to deliver a solution with similar functionality as above. To save on time and cost to begin we will use API&#039;s such as AWS cognito the help speed up development time.<br /><br />You will be provided with all UX screens etc to develop the product. Payment integrations will need to be made primarily with Stripe.<br /><br />Please include in your application the following:<br /><br />- Cost of project.<br />- Timeline for delivery.<br />- Person(s) working on the project and their role.<br />- Examples of previous successful projects.<br /><br /><br /><b>Posted On</b>: September 02, 2019 10:22 UTC<br /><b>Category</b>: Web, Mobile &amp; Software Dev &gt; Web Development<br /><b>Skills</b>:        Amazon Web Services,                     AMP Web Development,                     API Integration,                     CSS,                     Custom PHP,                     Database Architecture,                     HTML,                     HTML5,                     Java,                     JavaScript,                     jQuery,                     MySQL Administration,                     PHP,                     Scala,                     Smart Contracts            <br /><b>Country</b>: Ireland<br /><a href="https://www.upwork.com/jobs/Full-Stack-Developer-needed-for-build-SaaS-web-application_%7E017463cadbfcaad6b9?source=rss">click to apply</a>]]>	Mon, 02 Sep 2019 09:51:42 +0000	\N	0	<![CDATA[Full Stack Developer needed for to build SaaS web application. - Upwork]]>	9753	https://www.upwork.com/jobs/Full-Stack-Developer-needed-for-build-SaaS-web-application_%7E017463cadbfcaad6b9?source=rss	Mon, 02 Sep 2019 09:51:42 +0000 
9804	Bonne rentrée et reprise à tous !\n\nPour démarrer cette nouvelle année, nous sommes encore à la recherche de notre perle rare en alternance. \n\nTu es en école de développement web et tu souhaites te spécialiser sur le front-end ? \nTu cherches une agence web innovante, pleine d'envie pour évoluer et grandir dans un contexte unique et agréable ? \nTu aimes apprendre et tu es plein-e de bonne volonté ? \n\nAlors n'hésite pas ! Postule directement sur notre site internet en cliquant juste ici ??\nhttps://lnkd.in/dQPiszc\n\nEt pour ceux qui souhaitent nous donner un petit coup de pouce (et de la visibilité), n'hésitez pas à partager, liker ou commenter. Merci à vous !\n\n#recrutementweb #recrutementalternance #alternancedeveloppeurweb #developpeuralternance #agenceweblyon	2721202	\N	0	Digital Cover	9754	\N	11min • Modifié                 
9805	Cher réseau, j'ai besoin de vous ! \n\nJe cherche un stage d'un mois en octobre idéalement dans une agence de communication ou une agence web afin de mettre en pratique tout ou partie de ce que j'ai appris lors de ma formation --&gt; http://cartoonista.space/ \nMerci pour votre aide !!!	265315497	\N	0	Eve ROGARD	9754	\N	34min                           
9806	[Emploi]\nDe pâtissier à développeur web\n\nUn CDI, ça vous tente ? Découvrez comment #ValléeSudEmploi l’a aidé.\n\nVous habitez l'une des 11 communes de #ValléeSudGrandParis et recherchez un #emploi ? Venez rencontrer gratuitement un conseiller emploi à @Antony et @Bagneux. https://bit.ly/2N9Q5tN	18912813	\N	0	Vallée Sud - Grand Paris	9754	https://www.linkedin.com/posts/vallee-sud-grand-paris_vallaezesudemploi-vallaezesudgrandparis-emploi-activity-6574258564708216832-QBPD	29min                           
9807	Aujourd'hui, c'est la rentrée. \n\nSurement la plus belle pour moi car après deux semaines de congés, j'ai le sourire et la joie de retrouver mon agence, mon patron, mes collègues et mes clients !\n\nEt pour bien commencer l'année, Digital Cover recherche activement un développeur web Front-End en alternance, à Lyon !\n\nN'hésitez pas à partager, liker ou commenter pour nous donner un peu de visibilité ! Merci à vous !	264889097	\N	0	Déborah Achour Kessous	9755	\N	50min                           
9808	Reconversion réussie grâce à son talent, sa motivation et un super accompagnement par les conseillers de "Vallée Sud - Grand Paris - emploi" qui ont su voir au-delà de son CV.	144232174	\N	0	Maxime Le Men	9755	https://www.linkedin.com/posts/maximelemen_vallaezesudemploi-vallaezesudgrandparis-emploi-activity-6574268348408836096-G2Tw	49min                           
9809	Tu cherches une ALTERNANCE à #Lyon entant que dev Front-End ? @Digital_Cover recrute !	271243969	\N	0	Florian Chambolle	9756	\N	12min                           
9810	?? Le vendeur, ou l’acheteur, ne cherche pas en premier lieu l’agence immobilière qui va venir estimer son bien. Aujourd'hui, vos clients potentiels s’informent et se renseignent d'eux-même sur Internet. L'inbound Marketing est une stratégie indispensable:	28385931	\N	0	Christophe Prudent	9756	\N	45min                           
9811	 Nous recherchons un prestataire pour la réalisation d'un système de caisse complet conforme aux nouvelles réglementations européennes.	24878	\N	0	 Logiciel de caisse et web application pour entreprise vente vetements sur mesure (24878)	9757	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24878	02/09/2019                      
9812	Bonjour à tous !\n\nMa rentrée approche, elle aura lieu le 17 septembre prochain et malgré mes recherches, je suis toujours à la quête d'une alternance de 2 ans sur Brest, pas facile quand il n'y a quasiment pas d'alternance sur le marché !\n\nJe suis d'ors et déjà acceptée dans une formation de 2 ans en tant que "Chef de projet communication digitale" bac+4 au Campus CESI de Brest.\n\nJe cherche donc une entreprise dans l'univers du digital, de la création de sites web ou de contenu de communication digitale ou bien une entreprise qui a besoin d'aide ou qui souhaite se lancer dans une digitalisation (création d'un site marchand ou vitrine par exemple), je suis également ouverte au secteur du web marketing et à toute autre proposition similaire. J'ai contacté toute sorte d'entreprises ainsi que toutes les agences web et les agences de communication de Brest sans succès.\n\nJe pourrais occuper un poste de : Community manager, Chef de projet web, Chargée de communication digitale, Brand Manager, Content Manager, Responsable e-commerce, Chef de projet digital... et bien d'autres.\n\nSi vous avez des pistes pour moi ou si vous connaissez une entreprise qui peut-être intéressée par ce type de profil dans Brest et ses alentours, je suis là ! #alternance #web #digital #communication	663640012	\N	0	Romane Boennec	9758	https://www.linkedin.com/posts/romane-boennec-b24302166_alternance-web-digital-activity-6574353593535610882-WFAz	1h
